archivo.html;antiguo;nuevo;tono
ay,_del_chiquirritin.html;-;O03;Mi
campana_sobre_campana.html;40;O04;Do
cantemos_todos_la_navidad.html;50;O05;Re
dime,_niño.html;86;O06;Sol
el_niño_dios_ha_nacido_en_belen.html;-;O07;Sol
el_señor_nos_ha_nacido_en_belen.html;92;O08;Mim
el_tamborilero.html;104;O09;Do
cantemos_al_amor_de_los_amores.html;-;P01;Re
hosanna,_hosanna,_hosanna.html;136;P02;Re cej1
letanias.html;-;P03;Lam cej1
pregon_pascual.html;-;P04;La cej1
secuencia_de_pascua.html;-;P05;Re
ven,_espiritu_divino_(secuencia_de_pentecostes).html;-;P06;Do
aber_du_weisst_den_weg_für_mich.html;-;Q01;Do cej4
aber_du_weisst_den_weg_für_mich.html;-;Q01;Do cej4
adoramus_te_o_christe.html;-;Q02;Fa cej2
adoramus_te_o_christe.html;-;Q02;Fa cej2
ad_te_jesu_christe.html;-;Q03;Solm cej2
ad_te_jesu_christe.html;-;Q03;Solm cej2
alleluia_7.html;-;Q04;Rem
alleluia_7.html;-;Q04;Rem
alleluia_11.html;-;Q05;Sol cej1
alleluia_11.html;-;Q05;Sol cej1
alleluia_17.html;-;Q06;Mim cej2
alleluia_17.html;-;Q06;Mim cej2
alleluia_22.html;-;Q07;La cej3
alleluia_22.html;-;Q07;La cej3
alleluia_94.html;-;Q08;Fa#m cej1
alleluia_94.html;-;Q08;Fa#m cej1
alleluia_96.html;-;Q09;Mim
alleluia_96.html;-;Q09;Mim
alleluia_97.html;-;Q10;Mim cej3
alleluia_97.html;-;Q10;Mim cej3
beati_voi_poveri.html;-;Q11;La cej3
beati_voi_poveri.html;-;Q11;La cej3
behüte_mich_gott.html;-;Q12;Do cej3
behüte_mich_gott.html;-;Q12;Do cej3
benedictus_qui_venit_(canon).html;-;Q13;Rem cej2
benedictus_qui_venit_(canon).html;-;Q13;Rem cej2
bleibet_hier.html;-;Q14;Lam cej5
bleibet_hier.html;-;Q14;Lam cej5
benissez_le_seigneur.html;-;Q15;Do cej2
benissez_le_seigneur.html;-;Q15;Do cej2
bog_jest_miłością.html;-;Q16;Sol cej2
bog_jest_miłością.html;-;Q16;Sol cej2
bless_the_lord.html;-;Q17;Lam cej5
bless_the_lord.html;-;Q17;Lam cej5
bogoroditse_dievo_1.html;-;Q18;Sol
bogoroditse_dievo_1.html;-;Q18;Sol
bonum_est_confidere.html;-;Q19;Lam cej5
bonum_est_confidere.html;-;Q19;Lam cej5
cantarei_ao_senhor.html;-;Q20;Mim
cantarei_ao_senhor.html;-;Q20;Mim
christe,_lux_mundi.html;-;Q21;Sim cej3
christe,_lux_mundi.html;-;Q21;Sim cej3
cantate_domino_canticum_novum.html;-;Q22;Sol
cantate_domino_canticum_novum.html;-;Q22;Sol
christe_salvator.html;-;Q23;Lam cej3
christe_salvator.html;-;Q23;Lam cej3
confitemini_domino.html;-;Q24;Do cej2
confitemini_domino.html;-;Q24;Do cej2
crucem_tuam.html;-;Q25;Rem cej2
crucem_tuam.html;-;Q25;Rem cej2
da_pacem_cordium_(canon).html;-;Q26;Lam cej3
da_pacem_cordium_(canon).html;-;Q26;Lam cej3
da_pacem..._in_diebus.html;-;Q27;Mi cej3
da_pacem..._in_diebus.html;-;Q27;Mi cej3
dans_nos_obscurites.html;-;Q28;La cej2
dans_nos_obscurites.html;-;Q28;La cej2
de_noche.html;-;Q29;Lam cej5
despierta_tu_que_duermes.html;-;Q30;Do cej2
deus,_deus_meus_(canon).html;-;Q31;Mim cej1
deus,_deus_meus_(canon).html;-;Q31;Mim cej1
dieu_ne_peut_que_donner.html;-;Q32;Do cej2
dieu_ne_peut_que_donner.html;-;Q32;Do cej2
dominus_spiritus_est.html;-;Q33;Lam
